code lieu;nom lieu;adresse;code postal;ville;pays;téléphone;code visite;nom visite;date début;date fin;commentaire;type;lng;lat
20051;U EXPRESS AGON COUTAINVILLE;Ruet Du Goulot;50230;AGON COUTAINVILLE;France;233462613;SU20051AU;U EXPRESS AGON COUTAINVILLE;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;-1.593161;49.048139
20060;U EXPRESS PARIS;19 Rue Du Poteau;75018;PARIS;France;0;SU20060AU;U EXPRESS PARIS;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;2.342243;48.89354
20061;U EXPRESS CUINCY;759 Rue Jean Jaurès;59553;CUINCY;France;0;SU20061AU;U EXPRESS CUINCY;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;3.05751;50.377436
20063;U EXPRESS LILLE;4 Rue D'Isly;59000;LILLE;France;320109571;SU20063AU;U EXPRESS LILLE;;;Période libre - pas entre 12h et 14h;SC1 - PROXIMITE - Metropole;3.039495;50.625594
20066;U EXPRESS COURBEVOIE;48 Boulevard Georges Clémenceau;92400;COURBEVOIE;France;143340887;SU20066AU;U EXPRESS COURBEVOIE;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;2.269155;48.903301
20067;U EXPRESS MEUDON;161 Avenue De Verdun;92190;MEUDON;France;01 49 66 16 58;SU20067AU;U EXPRESS MEUDON;;;Visite à faire le matin;SC1 - PROXIMITE - Metropole;2.246274;48.818259
20076;U EXPRESS PARIS;33 Avenue Secrétan;75019;PARIS;France;970727911;SU20076AU;U EXPRESS PARIS;;;Visite à faire le matin;SC1 - PROXIMITE - Metropole;2.373589;48.881239
20081;U EXPRESS PARIS;20-28 Rue Du Chemin Vert ;75011;PARIS;France;155286693;SU20081AU;U EXPRESS PARIS;;;Période libre - pas entre 12h et 14h;SC1 - PROXIMITE - Metropole;2.372669;48.858324
20082;U EXPRESS LEVALLOIS-PERRET;112 Rue Du President Wilson;92300;LEVALLOIS-PERRET;France;147397683;SU20082AU;U EXPRESS LEVALLOIS-PERRET;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;2.286374;48.896819
20102;U EXPRESS BRETTEVILLE SUR LAIZE;Cd 23 -  Zone Artisanale;14680;BRETTEVILLE SUR LAIZE;France;231235220;SU20102AU;U EXPRESS BRETTEVILLE SUR LAIZE;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;-0.324214;49.044491
20161;U EXPRESS ANDRESY;37 Rue Du Maréchal Foch;78570;ANDRESY;France;01 39 74 97 57;SU20161AU;U EXPRESS ANDRESY;;;Période libre;SC1 - PROXIMITE - Metropole;2.064032;48.987527
20163;U EXPRESS TORCY LE PETIT;7 Rue Des Forrières Les Basses Terres ;76590;TORCY LE PETIT;France;02 21 81 41 69;SU20163AU;U EXPRESS TORCY LE PETIT;;;Période libre;SC1 - PROXIMITE - Metropole;1.171929;49.809118
20493;U EXPRESS JULLOUVILLE;40 Avenue De La Liberation;50610;JULLOUVILLE;France;233618444;SU20493AU;U EXPRESS JULLOUVILLE;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;-1.567873;48.775822
20574;U EXPRESS GOUVILLE SUR MER;Rue Du Littoral;50560;GOUVILLE SUR MER;France;233767954;SU20574AU;U EXPRESS GOUVILLE SUR MER;;;Visite à faire le matin;SC1 - PROXIMITE - Metropole;-1.583201;49.09383
20701;U EXPRESS CHERBOURG EN COTENTIN;62 Rue De La Paix;50120;CHERBOURG EN COTENTIN;France;233948663;SU20701AU;U EXPRESS CHERBOURG EN COTENTIN;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;-1.658406;49.654749
20744;U EXPRESS GAVRAY SUR SIENNE;25 Rue De L Hotel Saint Denis;50450;GAVRAY SUR SIENNE;France;233610877;SU20744AU;U EXPRESS GAVRAY SUR SIENNE;;;Visite à faire le matin;SC1 - PROXIMITE - Metropole;-1.353196;48.912862
20952;U EXPRESS CHERBOURG EN COTENTIN;260 Rue De La Fonderie;50110;CHERBOURG EN COTENTIN;France;233223624;SU20952AU;U EXPRESS CHERBOURG EN COTENTIN;;;Visite à faire le matin;SC1 - PROXIMITE - Metropole;-1.583135;49.643943
21333;U EXPRESS BAYEUX;54 B Rue Saint Patrice;14400;BAYEUX;France;231928494;SU21333AU;U EXPRESS BAYEUX;;;Visite à faire le matin;SC1 - PROXIMITE - Metropole;-0.712884;49.280524
21791;U EXPRESS VILLE D AVRAY;9 Rue De Sevres;92410;VILLE D AVRAY;France;147503395;SU21791AU;U EXPRESS VILLE D AVRAY;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;2.189549;48.826912
21805;U EXPRESS LE CHESNAY ROCQUENCOURT;25 Rue Des Erables;78150;LE CHESNAY ROCQUENCOURT;France;139494635;SU21805AU;U EXPRESS LE CHESNAY ROCQUENCOURT;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;2.118412;48.834378
21937;U EXPRESS ST QUENTIN;19 Rue Croix Belle Porte;02100;ST QUENTIN;France;323060046;SU21937AU;U EXPRESS ST QUENTIN;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;3.287544;49.847731
22062;U EXPRESS LILLE;51 Rue Du Buisson;59800;LILLE;France;320552593;SU22062AU;U EXPRESS LILLE;;;Visite à faire le matin;SC1 - PROXIMITE - Metropole;3.086908;50.649749
22162;U EXPRESS THUE ET MUE;Rue Hector Malot;14740;THUE ET MUE;France;231286162;SU22162AU;U EXPRESS THUE ET MUE;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;-0.507299;49.211635
22348;U EXPRESS LA HAYE PESNEL;20 Rue De La Liberation;50320;LA HAYE PESNEL;France;233615534;SU22348AU;U EXPRESS LA HAYE PESNEL;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;-1.398212;48.79719
22992;U EXPRESS PORT EN BESSIN HUPPAIN;Impasse Des Goelands;14520;PORT EN BESSIN HUPPAIN;France;231517979;SU22992AU;U EXPRESS PORT EN BESSIN HUPPAIN;;;Visite à faire le matin;SC1 - PROXIMITE - Metropole;-0.752107;49.342229
23149;U EXPRESS PARIS;127 133 Boulevard Soult;75012;PARIS;France;144247014;SU23149AU;U EXPRESS PARIS;;;Visite à faire le matin;SC1 - PROXIMITE - Metropole;2.410413;48.845643
23158;U EXPRESS PARIS;193 Rue Championnet;75018;PARIS;France;158603630;SU23158AU;U EXPRESS PARIS;;;Visite à faire l'après-midi;SC1 - PROXIMITE - Metropole;2.332457;48.89404
23185;U EXPRESS PARIS;130 Avenue Emile Zola;75015;PARIS;France;145722139;SU23185AU;U EXPRESS PARIS;;;Visite à faire le matin;SC1 - PROXIMITE - Metropole;2.292559;48.846781
23193;U EXPRESS PARIS;29 Rue De Clery;75002;PARIS;France;142868470;SU23193AU;U EXPRESS PARIS;;;Période libre - pas entre 12h et 14h;SC1 - PROXIMITE - Metropole;2.347439;48.868429
23204;U EXPRESS PARIS;50 Rue De La Federation;75015;PARIS;France;144593528;SU23204AU;U EXPRESS PARIS;;;Période libre - pas entre 12h et 14h;SC1 - PROXIMITE - Metropole;2.294486;48.853612
23220;U EXPRESS PARIS;1 Rue D Assas;75006;PARIS;France;145442505;SU23220AU;U EXPRESS PARIS;;;Période libre - pas entre 12h et 14h;SC1 - PROXIMITE - Metropole;2.327903;48.850296
